id;title;description;priority;status;due_date;created_at
1;rebel along;edge fantastic;HIGH;DONE;2026-04-02;2026-04-02T21:39:32
2;object jaggedly er;hutch if;MEDIUM;IN_PROGRESS;2026-04-03;2026-04-02T19:37:30
3;how tenderly;lady;HIGH;BLOCKED;2026-04-03;2026-04-02T23:08:13
4;ack bloom;giant soggy politely;LOW;IN_PROGRESS;2026-04-03;2026-04-03T05:44:11
5;who underneath but;upbeat;URGENT;IN_PROGRESS;2026-04-03;2026-04-02T16:51:33
6;now as;bludgeon fashion phew;HIGH;DONE;2026-04-02;2026-04-03T02:14:36
7;surprised ugh;phooey and;MEDIUM;DONE;2026-04-02;2026-04-02T10:44:03
8;procrastinate aw;anti lawful event;LOW;BLOCKED;2026-04-02;2026-04-03T08:21:07
9;politely whack wherever;generously provided furiously;LOW;DONE;2026-04-02;2026-04-02T18:04:23
10;huzzah merit;for like;HIGH;TODO;2026-04-02;2026-04-02T15:33:08
